原文产品行业编码,中信 2.0 行业编码
17206,262020
25301,353010
16200,272030
32106,201030
23201,363010
11100,102000
32301,202030
21401,255010
13100,122000
16201,272030
32103,201030
33401,504010
34301,422010
17201,261000
36201,412010
24205,342050
24104,341030
28401,605020
23100,361000
32500,323000
20000,330000
19302,304010
17502,264030
16402,272010
15305,231030
35102,402010
20202,334020
31201,612030
11811,246010
34302,422010
16303,273030
11205,223080
24201,342000
25202,352010
35201,401010
11809,224041
11201,223010
18101,281020
31203,613010
13105,122010
13201,120100
11807,224021
27101,321010
11405,222070
28501,606010
30103,631020
11501,225000
16501,272000
22601,375010
15404,231050
27301,321020
15401,231050
11406,222030
26401,312010
15303,231030
24206,342000
22201,374020
23203,363040
29101,624040
19000,300000
11306,221040
29300,621000
10202,112010
12100,211000
19402,305010
19100,302000
15400,231050
27201,322010
23200,363000
30102,633010
13400,123000
30302,634020
14101,244010
32100,201000
20100,331010
25601,354030
31202,612020
23204,363040
12301,212030
11404,222040
33301,501030
21101,251010
15000,230000
11600,226000
12203,212070
11805,224040
21302,253020
13303,123020
20105,331010
10401,103010
14304,244030
11808,224070
35000,400000
16404,272010
16101,272040
26402,314010
22401,372010
11400,222000
17101,263020
11401,222010
11303,221060
33000,500000
10201,111000
16401,272010
36101,411010
11502,225010
26302,315010
28000,600000
21301,253010
19303,304010
28101,601020
10101,101010
22701,372030
13305,123040
24200,342000
30101,631010
22801,372020
32102,201020
13102,123060
22504,375010
22102,371040
20301,334010
25401,354010
16403,272010
32401,202050
13106,122020
13000,120000
17100,263000
24000,340000
34102,421020
22202,374010
17203,262010
13306,123050
11301,221010
16300,273000
25102,351020
16203,272030
30300,634000
18401,264020
25100,351000
33601,503010
25101,351010
28400,605000
33201,501010
17102,263040
30100,633000
11300,224000
12101,211030
19301,304010
14307,244030
29202,622010
19401,305010
11000,220000
30301,634010
27000,320000
14302,245010
11101,102010
31200,612000
22103,371040
32201,202050
18201,281010
14401,240000
26100,311000
11203,223080
12102,213010
17205,262030
12000,210000
11307,221050
13301,123020
13403,123020
13401,123020
20200,334020
32104,201030
28201,603020
23103,361030
22502,375010
28402,605010
28300,604000
36301,413000
26301,315000
12204,212080
17105,263050
29100,624000
19102,302010
15301,231030
11407,222070
11503,225040
10301,111000
11304,223080
11500,225000
20201,334020
14306,244030
12201,212050
13200,121000
13107,123030
25201,352020
13300,120000
17000,260000
21303,254010
26102,311020
16000,272000
24103,341020
22503,375010
13101,122050
13402,123020
27501,324000
30303,634030
24102,341010
22501,375010
26300,315000
22500,375010
26103,311040
11801,223090
20103,331010
21201,252000
32601,200000
11804,224020
34201,421030
19103,302020
14301,245020
28102,601030
24101,341020
29401,622000
24202,342000
23101,361010
33801,502000
11701,220000
17106,263050
17208,262070
23000,360000
33501,504020
17200,262000
26201,313000
28301,604040
10203,111000
29201,622020
28100,601000
32501,323060
34101,421010
18000,280000
11402,222050
27401,322020
13202,121000
11305,221020
10402,103020
26101,311010
12202,212060
15302,231030
28302,604020
14201,244020
33101,503020
24100,341000
28200,603000
17202,263020
20401,334020
24203,342000
17209,262030
17501,264010
30201,632000
19201,303010
36000,410000
16304,273050
32402,202050
14308,244030
27100,321010
11601,226010
13304,123020
32502,323000
15405,231050
17204,261030
34100,421000
19403,305010
28202,603030
16302,273010
15300,231000
14305,244030
11202,223020
17207,262030
15403,231050
11800,224000
14303,244030
17401,266010
20101,331010
13302,123020
15201,232010
16306,273050
18301,282010
31101,611010
32105,202040
33701,501020
20102,331010
30105,632020
12205,212090
25501,354020
22301,373010
16202,272030
11102,102040
20104,333010
23102,361020
16305,273040
29102,624010
23104,362040
17301,265010
14000,240000
24106,341040
29000,620000
29301,621010
23202,363020
28303,604000
13307,123060
22101,371010
35101,403010
13203,121000
24105,341040
13103,123030
11806,224070
29200,622000
23106,361030
21304,254010
16301,273050
15101,231020
18501,283010
15304,231030
11603,226020
13104,122020
17104,263050
11802,224010
16400,272010
24204,342000
25200,352000
25000,350000
32101,201010
14102,244010
24301,340000
11302,221060
21501,250000
28103,601040
23105,361030
13501,121000
11602,226020
29302,621020
11204,223030
33102,500000
17103,263050
15501,231040
15402,231050
19101,301010
11200,223000
27102,321010
30106,633040
11812,224070
11803,224030
30104,633030
